id,artist_name,name,format,comment,discogs_url,index_by
75,Radiohead,OK Computer,CD,null,https://www.discogs.com/Radiohead-OK-Computer/release/105704,null
76,Radiohead,Amnesiac,CD,null,https://www.discogs.com/Radiohead-Amnesiac/release/267133,null
78,Red Hot Chili Peppers,Stadium Arcadium,CD,null,https://www.discogs.com/Red-Hot-Chili-Peppers-Stadium-Arcadium/release/14000535,null
77,Radiohead,The Best Of,CD + DVD,null,https://www.discogs.com/Radiohead-The-Best-Of/release/1641271,null
79,R.E.M.,Green,CD,null,https://www.discogs.com/REM-Green/release/1483618,null
80,R.E.M.,Automatic For The People,CD,null,https://www.discogs.com/REM-Automatic-For-The-People/release/10757070,null
81,R.E.M.,Monster,CD,null,https://www.discogs.com/REM-Monster/release/2223378,null
82,R.E.M.,Up,CD,null,https://www.discogs.com/REM-Up/release/370440,null
83,R.E.M.,New Adventures In Hi-Fi,CD,null,https://www.discogs.com/REM-New-Adventures-In-Hi-Fi/release/367404,null
84,R.E.M.,The Best Of R.E.M. (In Time 1988-2003),CD,"Only CD1, no booklet, case or CD2",https://www.discogs.com/REM-The-Best-Of-REM-In-Time-1988-2003/release/1957133,null
85,R.E.M.,Accelerate,CD,null,https://www.discogs.com/REM-Accelerate/release/1481473,null
86,Roxette,Crash! Boom! Bang!,CD,null,https://www.discogs.com/Roxette-Crash-Boom-Bang/release/384264,null
87,Reef,Glow,CD,null,https://www.discogs.com/Reef-Glow/release/564067,null
89,Suede,Dog Man Star,CD,null,https://www.discogs.com/Suede-Dog-Man-Star/release/8084713,null
88,Scorpions,Crazy World,CD,null,https://www.discogs.com/Scorpions-Crazy-World/release/5248990,null
90,Supergrass,In It For The Money,CD,null,https://www.discogs.com/Supergrass-In-It-For-The-Money/release/535286,null
91,Them Crooked Vultures,Them Crooked Vultures,CD,null,https://www.discogs.com/Them-Crooked-Vultures-Them-Crooked-Vultures/release/2006356,null
92,The Tiger Lillies,The Little Matchgirl,CD,null,https://www.discogs.com/The-Tiger-Lillies-The-Little-Matchgirl/release/1804076,null
93,Ultra Bra,Vapaaherran Elämää,CD,null,https://www.discogs.com/Ultra-Bra-Vapaaherran-El%C3%A4m%C3%A4%C3%A4/release/385251,null
94,Ultra Bra,Kroketti,CD,null,https://www.discogs.com/Ultra-Bra-Kroketti/release/385261,null
95,Ultra Bra,Kalifornia,CD,null,https://www.discogs.com/Ultra-Bra-Kalifornia/release/385272,null
96,Ultra Bra,Vesireittejä,CD,null,https://www.discogs.com/Ultra-Bra-Vesireittej%C3%A4/release/385445,null
97,U2,Pop,CD,null,https://www.discogs.com/U2-Pop/release/3192703,null
98,Maija Vilkkumaa,Pitkä Ihana Leikki (Peltipainos),CD,null,https://www.discogs.com/Maija-Vilkkumaa-Pitk%C3%A4-Ihana-Leikki-Peltipainos/release/1193400,Vilkkumaa
99,Maija Vilkkumaa,"Meikit, Ketjut Ja Vyöt",CD,null,https://www.discogs.com/Maija-Vilkkumaa-Meikit-Ketjut-Ja-Vy%C3%B6t/release/697836,Vilkkumaa
100,Maija Vilkkumaa,Ei,CD,null,https://www.discogs.com/Maija-Vilkkumaa-Ei/release/697853,Vilkkumaa
101,Maija Vilkkumaa,Se Ei Olekaan Niin,CD,null,https://www.discogs.com/Maija-Vilkkumaa-Se-Ei-Olekaan-Niin-Erikoispainos/release/2728965,Vilkkumaa
