name
10 Records
20th Century Fox Home Entertainment
Aliot
All Stars
Amiga
AnTrop
Atlantic
Balkanton
Band Of Joy
Bianco Music & Entertainment
BMG
Burning Airlines
Capitol Records
CBS
CDL - Cologne Dance Label
Chrome Dreams
Chrysalis
Cleopatra
Columbia
Control
Croatia Records Parlophone
DGR
Disky
Dreamworks Records
Duck Productions Ltd.
Eagle Vision
Ear Music
EastWest
EastWest Records America
Elap Music
Electra
Electrola
Electronic Arts
EMI
EMI Electrola
EMI Finland
EMI Parlophone
EMI Supraphon
Emporio
Epic
Euro Star
Fazer Records
Futurefilm
Gala Records
Geffen Records
Going For A Song
Hollywood BASIC
Hollywood Records
Imtrat
Independiente
Invisible Halahup
Island Records
K-tel
Legacy
Lion Music
London Records
Mascot Records
Masterplan
MCA Records
Melodia
Mercury
Milestone Records
No More Brothers
Omnivore Recordings
Opus Arte
Orbit Records
Paramount Pictures
Parlophone
Pioneer Artists
Plastinka
Polydor
Polygram TV
Positiva
Pseudonym
Q Records
RCA
Reprise Records
Revolver
Room 101 Entertainment
Santa Records
SBK
Self Records
Sony Classical
Sony Music
Sony Pictures Home Entertainment
Streamline Records
The Rocket Record Company
Universal
Universal Music Group
Vertigo
Virgin
Virgin EMI Records
Virgin Siren
Warner Strategic Marketing
Wienerworld Presentation
"ООО ""СПЮРК"""
Warner Bros. Records
Fat Lady Records
Mobile Fidelity Sound Lab
Phonogram
Rhino Records
CMV
Queen Films
Picture Music International
Peppermint Music Video
JEC International Corporation Japan
Tanpress
EMI Classics
Aftermath Entertainment
Interscope Records
Priority Records
Life-Aid Armenia Records
T2
Essential
A&M Octone Records
Eagle Records
Locomotive Music
